100,435,
VM,I,F,N,CPU,Memory,Links
1,1,1,256,64,256,1,
2,1,47,122,16,122,1,
3,1,9,244,8,244,1,
4,2,97,4,2,4,1,
5,2,36,122,16,122,1,
6,3,2,122,16,122,1,
7,3,30,72,36,72,1,
8,3,68,8,2,8,1,
9,3,3,8,2,8,1,
10,3,3,64,16,64,1,
11,4,17,122,16,122,1,
12,4,4,16,4,16,1,
13,4,4,16,4,16,1,
14,4,3,8,2,8,1,
15,4,4,8,2,8,1,
16,4,10,64,16,64,1,
17,5,5,16,8,16,1,
18,5,5,256,64,256,1,
19,6,14,32,8,32,1,
20,6,19,16,8,16,1,
21,6,6,122,16,122,1,
22,6,6,32,8,32,1,
23,6,6,16,8,16,1,
24,7,23,244,8,244,1,
25,8,24,488,16,488,1,
26,8,8,72,36,72,1,
27,8,8,64,16,64,1,
28,9,47,72,36,72,1,
29,9,8,64,16,64,1,
30,9,9,4,2,4,1,
31,9,39,122,4,122,1,
32,9,9,72,36,72,1,
33,10,30,122,4,122,1,
34,10,35,64,16,64,1,
35,10,76,488,16,488,1,
36,11,11,64,16,64,1,
37,11,1,32,8,32,1,
38,11,11,122,4,122,1,
39,11,12,16,4,16,1,
40,11,11,122,16,122,1,
41,11,11,16,8,16,1,
42,11,3,32,8,32,1,
43,12,81,488,16,488,1,
44,13,13,192,48,192,1,
45,14,10,16,4,16,1,
46,14,14,32,8,32,1,
47,14,14,32,8,32,1,
48,14,3,32,8,32,1,
49,14,9,8,2,8,1,
50,14,14,8,4,8,1,
51,14,14,122,16,122,1,
52,15,15,72,36,72,1,
53,15,15,244,8,244,1,
54,15,15,16,4,16,1,
55,15,15,8,4,8,1,
56,15,6,8,2,8,1,
57,15,11,16,4,16,1,
58,15,23,122,4,122,1,
59,16,42,72,36,72,1,
60,16,64,488,16,488,1,
61,16,10,8,2,8,1,
62,16,16,16,4,16,1,
63,16,16,16,8,16,1,
64,16,12,16,8,16,1,
65,17,27,122,16,122,1,
66,18,18,8,2,8,1,
67,18,18,122,4,122,1,
68,18,15,64,16,64,1,
69,18,58,72,36,72,1,
70,18,18,8,4,8,1,
71,18,18,32,8,32,1,
72,18,51,244,8,244,1,
73,18,18,16,4,16,1,
74,18,18,32,8,32,1,
75,19,19,32,8,32,1,
76,19,19,8,4,8,1,
77,19,19,122,16,122,1,
78,19,4,8,2,8,1,
79,19,19,8,4,8,1,
80,19,15,16,4,16,1,
81,19,19,16,8,16,1,
82,20,20,488,16,488,1,
83,20,9,4,2,4,1,
84,20,20,8,4,8,1,
85,20,6,4,2,4,1,
86,20,11,16,4,16,1,
87,20,9,8,2,8,1,
88,20,20,192,48,192,1,
89,21,21,122,4,122,1,
90,21,21,16,8,16,1,
91,21,3,16,8,16,1,
92,21,21,16,4,16,1,
93,21,27,8,4,8,1,
94,21,21,64,16,64,1,
95,22,22,244,8,244,1,
96,22,36,64,16,64,1,
97,22,22,8,2,8,1,
98,22,15,8,2,8,1,
99,22,10,32,8,32,1,
100,22,22,4,2,4,1,
101,22,10,16,4,16,1,
102,22,22,8,4,8,1,
103,22,52,122,16,122,1,
104,22,12,64,16,64,1,
105,22,22,64,16,64,1,
106,23,45,192,48,192,1,
107,23,6,16,4,16,1,
108,23,8,16,8,16,1,
109,23,12,4,2,4,1,
110,23,23,16,8,16,1,
111,24,24,8,4,8,1,
112,24,64,72,36,72,1,
113,24,24,8,4,8,1,
114,24,24,192,48,192,1,
115,25,25,8,4,8,1,
116,25,81,4,2,4,1,
117,25,37,244,8,244,1,
118,26,14,16,4,16,1,
119,26,26,122,16,122,1,
120,26,8,16,4,16,1,
121,26,1,4,2,4,1,
122,26,10,244,8,244,1,
123,26,4,8,2,8,1,
124,27,26,244,8,244,1,
125,28,28,64,16,64,1,
126,28,1,8,2,8,1,
127,28,28,16,4,16,1,
128,28,6,4,2,4,1,
129,29,29,32,8,32,1,
130,29,29,192,48,192,1,
131,29,4,8,4,8,1,
132,29,3,16,4,16,1,
133,30,3,8,2,8,1,
134,30,7,32,8,32,1,
135,30,14,4,2,4,1,
136,30,22,122,4,122,1,
137,30,23,72,36,72,1,
138,30,47,244,8,244,1,
139,31,31,122,4,122,1,
140,31,22,64,16,64,1,
141,31,9,32,8,32,1,
142,32,6,4,2,4,1,
143,32,32,8,4,8,1,
144,32,32,4,2,4,1,
145,32,46,244,8,244,1,
146,32,32,4,2,4,1,
147,32,26,16,8,16,1,
148,32,18,64,16,64,1,
149,32,32,192,48,192,1,
150,33,33,8,4,8,1,
151,33,43,122,4,122,1,
152,33,33,32,8,32,1,
153,33,7,4,2,4,1,
154,33,4,64,16,64,1,
155,33,33,72,36,72,1,
156,33,33,244,8,244,1,
157,33,3,4,2,4,1,
158,33,7,16,4,16,1,
159,33,3,8,2,8,1,
160,33,33,8,2,8,1,
161,33,4,16,8,16,1,
162,34,34,64,16,64,1,
163,34,34,32,8,32,1,
164,34,34,32,8,32,1,
165,34,34,192,48,192,1,
166,34,34,122,4,122,1,
167,34,34,8,4,8,1,
168,34,34,122,4,122,1,
169,35,36,64,16,64,1,
170,35,3,16,4,16,1,
171,35,35,72,36,72,1,
172,35,10,8,2,8,1,
173,35,29,32,8,32,1,
174,36,36,8,4,8,1,
175,36,36,8,4,8,1,
176,36,32,244,8,244,1,
177,36,8,122,16,122,1,
178,36,39,72,36,72,1,
179,37,37,192,48,192,1,
180,37,37,64,16,64,1,
181,38,22,16,8,16,1,
182,38,38,122,4,122,1,
183,38,38,8,2,8,1,
184,38,20,16,8,16,1,
185,38,38,64,16,64,1,
186,38,38,122,16,122,1,
187,38,31,122,4,122,1,
188,39,44,488,16,488,1,
189,39,56,192,48,192,1,
190,40,14,8,2,8,1,
191,40,68,192,48,192,1,
192,41,41,64,16,64,1,
193,41,9,4,2,4,1,
194,41,30,8,2,8,1,
195,41,15,8,2,8,1,
196,41,41,16,4,16,1,
197,42,42,122,16,122,1,
198,42,12,64,16,64,1,
199,42,16,72,36,72,1,
200,43,18,64,16,64,1,
201,43,8,64,16,64,1,
202,43,33,122,4,122,1,
203,43,43,16,4,16,1,
204,43,43,64,16,64,1,
205,43,3,8,2,8,1,
206,43,43,16,4,16,1,
207,43,43,16,4,16,1,
208,44,56,256,64,256,1,
209,44,25,192,48,192,1,
210,45,45,8,2,8,1,
211,45,39,72,36,72,1,
212,45,45,16,8,16,1,
213,45,45,488,16,488,1,
214,45,1,122,4,122,1,
215,46,46,16,4,16,1,
216,46,40,244,8,244,1,
217,46,46,8,2,8,1,
218,46,46,192,48,192,1,
219,47,47,4,2,4,1,
220,47,47,192,48,192,1,
221,47,47,4,2,4,1,
222,47,38,122,16,122,1,
223,47,3,4,2,4,1,
224,47,3,4,2,4,1,
225,47,34,64,16,64,1,
226,47,12,244,8,244,1,
227,48,48,256,64,256,1,
228,48,48,192,48,192,1,
229,49,35,8,2,8,1,
230,49,49,64,16,64,1,
231,49,1,32,8,32,1,
232,49,42,8,2,8,1,
233,49,10,4,2,4,1,
234,49,1,16,4,16,1,
235,49,19,8,4,8,1,
236,49,7,8,2,8,1,
237,49,18,64,16,64,1,
238,50,39,4,2,4,1,
239,50,29,244,8,244,1,
240,51,51,8,2,8,1,
241,51,44,192,48,192,1,
242,51,10,122,16,122,1,
243,52,16,16,4,16,1,
244,52,52,72,36,72,1,
245,52,52,8,2,8,1,
246,52,28,32,8,32,1,
247,52,7,16,4,16,1,
248,52,10,122,4,122,1,
249,52,52,122,4,122,1,
250,52,52,4,2,4,1,
251,53,3,4,2,4,1,
252,53,42,64,16,64,1,
253,53,3,16,4,16,1,
254,53,10,8,4,8,1,
255,54,54,256,64,256,1,
256,54,26,72,36,72,1,
257,55,99,32,8,32,1,
258,55,10,4,2,4,1,
259,55,39,8,4,8,1,
260,55,11,32,8,32,1,
261,55,58,16,4,16,1,
262,56,16,488,16,488,1,
263,56,90,256,64,256,1,
264,57,1,32,8,32,1,
265,57,46,16,8,16,1,
266,57,12,8,4,8,1,
267,57,4,4,2,4,1,
268,57,15,4,2,4,1,
269,57,21,16,8,16,1,
270,57,32,64,16,64,1,
271,58,43,8,2,8,1,
272,58,12,64,16,64,1,
273,58,23,16,8,16,1,
274,58,58,32,8,32,1,
275,58,52,8,2,8,1,
276,58,32,32,8,32,1,
277,58,22,4,2,4,1,
278,59,79,32,8,32,1,
279,59,40,8,4,8,1,
280,59,59,32,8,32,1,
281,59,4,4,2,4,1,
282,59,31,8,4,8,1,
283,60,44,16,8,16,1,
284,60,6,4,2,4,1,
285,60,3,8,2,8,1,
286,60,20,64,16,64,1,
287,61,50,122,16,122,1,
288,62,35,122,4,122,1,
289,62,73,256,64,256,1,
290,63,94,192,48,192,1,
291,63,9,4,2,4,1,
292,63,76,16,4,16,1,
293,63,92,32,8,32,1,
294,63,32,64,16,64,1,
295,64,64,192,48,192,1,
296,64,67,488,16,488,1,
297,65,37,4,2,4,1,
298,65,37,4,2,4,1,
299,65,22,32,8,32,1,
300,65,37,4,2,4,1,
301,65,22,16,8,16,1,
302,65,67,16,4,16,1,
303,66,6,32,8,32,1,
304,66,23,16,4,16,1,
305,66,81,64,16,64,1,
306,67,7,16,4,16,1,
307,67,39,488,16,488,1,
308,67,67,256,64,256,1,
309,68,33,72,36,72,1,
310,68,10,8,4,8,1,
311,68,68,8,4,8,1,
312,68,68,4,2,4,1,
313,69,29,8,4,8,1,
314,69,64,16,8,16,1,
315,69,26,8,2,8,1,
316,69,44,72,36,72,1,
317,70,70,122,16,122,1,
318,71,50,72,36,72,1,
319,71,22,64,16,64,1,
320,72,1,122,4,122,1,
321,73,4,4,2,4,1,
322,73,51,256,64,256,1,
323,73,73,16,4,16,1,
324,73,43,72,36,72,1,
325,74,74,122,16,122,1,
326,74,74,8,2,8,1,
327,74,74,122,16,122,1,
328,75,36,122,4,122,1,
329,75,54,16,4,16,1,
330,75,36,122,16,122,1,
331,75,9,8,4,8,1,
332,75,10,8,2,8,1,
333,75,9,64,16,64,1,
334,75,45,64,16,64,1,
335,75,23,8,2,8,1,
336,76,76,72,36,72,1,
337,76,10,16,4,16,1,
338,76,76,64,16,64,1,
339,76,76,72,36,72,1,
340,77,33,8,2,8,1,
341,77,52,122,16,122,1,
342,77,16,16,8,16,1,
343,77,94,16,8,16,1,
344,77,3,16,4,16,1,
345,77,94,16,8,16,1,
346,78,78,8,4,8,1,
347,78,78,244,8,244,1,
348,79,79,192,48,192,1,
349,80,32,122,4,122,1,
