30,124,
VM,I,F,N,CPU,Memory,Links
1,1,19,72,36,72,1,
2,1,1,488,16,488,1,
3,1,5,72,36,72,1,
4,2,3,8,2,8,1,
5,2,3,8,2,8,1,
6,2,12,122,4,122,1,
7,2,12,16,4,16,1,
8,2,3,8,2,8,1,
9,2,18,64,16,64,1,
10,3,6,8,4,8,1,
11,3,5,122,16,122,1,
12,3,24,72,36,72,1,
13,3,10,16,8,16,1,
14,3,7,244,8,244,1,
15,3,6,32,8,32,1,
16,3,30,122,4,122,1,
17,4,3,8,4,8,1,
18,4,18,4,2,4,1,
19,4,18,32,8,32,1,
20,4,6,16,8,16,1,
21,4,28,8,2,8,1,
22,5,12,244,8,244,1,
23,6,14,8,4,8,1,
24,6,2,16,8,16,1,
25,6,3,16,8,16,1,
26,6,3,16,4,16,1,
27,7,3,122,4,122,1,
28,7,18,244,8,244,1,
29,7,3,8,2,8,1,
30,7,25,32,8,32,1,
31,7,13,16,8,16,1,
32,7,7,256,64,256,1,
33,8,3,122,4,122,1,
34,8,8,256,64,256,1,
35,9,27,122,4,122,1,
36,9,7,16,8,16,1,
37,9,21,4,2,4,1,
38,9,3,32,8,32,1,
39,9,3,32,8,32,1,
40,10,10,488,16,488,1,
41,11,11,256,64,256,1,
42,11,17,244,8,244,1,
43,11,8,4,2,4,1,
44,11,3,32,8,32,1,
45,11,7,32,8,32,1,
46,12,12,256,64,256,1,
47,12,3,4,2,4,1,
48,12,2,4,2,4,1,
49,12,2,8,2,8,1,
50,12,25,64,16,64,1,
51,12,13,8,4,8,1,
52,13,13,488,16,488,1,
53,14,14,488,16,488,1,
54,15,17,72,36,72,1,
55,15,18,64,16,64,1,
56,15,2,4,2,4,1,
57,15,28,8,4,8,1,
58,15,19,122,16,122,1,
59,16,2,8,4,8,1,
60,16,28,32,8,32,1,
61,16,2,8,2,8,1,
62,16,3,8,4,8,1,
63,16,2,16,4,16,1,
64,16,24,4,2,4,1,
65,17,26,122,16,122,1,
66,17,3,244,8,244,1,
67,17,3,4,2,4,1,
68,17,7,122,16,122,1,
69,18,29,72,36,72,1,
70,18,24,4,2,4,1,
71,18,24,72,36,72,1,
72,19,4,16,8,16,1,
73,19,7,16,8,16,1,
74,19,9,72,36,72,1,
75,20,24,4,2,4,1,
76,20,12,122,4,122,1,
77,20,8,122,4,122,1,
78,21,2,16,4,16,1,
79,21,2,4,2,4,1,
80,21,3,4,2,4,1,
81,21,2,8,2,8,1,
82,21,24,16,8,16,1,
83,21,3,8,4,8,1,
84,21,19,16,4,16,1,
85,22,18,4,2,4,1,
86,22,2,16,4,16,1,
87,22,22,256,64,256,1,
88,23,2,4,2,4,1,
89,23,29,72,36,72,1,
90,23,21,8,2,8,1,
91,23,22,16,8,16,1,
92,24,18,32,8,32,1,
93,24,24,488,16,488,1,
94,24,11,122,16,122,1,
95,25,21,16,4,16,1,
96,25,8,8,4,8,1,
97,25,17,64,16,64,1,
98,26,3,16,4,16,1,
99,26,8,16,4,16,1,
100,26,22,8,4,8,1,
101,26,2,16,4,16,1,
102,26,6,16,4,16,1,
103,26,6,8,2,8,1,
104,26,2,8,2,8,1,
105,27,3,16,4,16,1,
106,27,24,8,2,8,1,
107,27,30,4,2,4,1,
108,27,18,64,16,64,1,
109,28,14,16,8,16,1,
110,28,24,8,4,8,1,
111,28,29,122,4,122,1,
112,28,17,64,16,64,1,
113,28,21,64,16,64,1,
114,28,22,8,2,8,1,
115,28,25,16,4,16,1,
116,28,6,8,2,8,1,
117,28,3,16,4,16,1,
118,28,3,4,2,4,1,
119,28,2,8,4,8,1,
120,29,28,256,64,256,1,
121,30,3,32,8,32,1,
122,30,24,8,4,8,1,
123,30,21,16,4,16,1,
124,30,2,16,8,16,1,
,
Server,Capacity-CPU,Init-CPU,Final-CPU,Capacity-MEM,Init-MEM,Final-MEM,
1,112,24,96,768,136,280,
2,56,26,0,256,30,96,
3,112,28,12,768,152,0,
4,28,4,20,128,60,112,
5,56,48,4,256,12,62,
6,28,4,0,128,72,40,
7,112,18,0,768,90,82,
8,78,10,0,512,134,106,
9,56,26,20,256,50,184,
10,78,62,54,512,24,8,
11,112,22,32,768,200,390,
12,112,22,28,768,424,8,
13,78,62,50,512,24,0,
14,78,62,50,512,24,0,
15,78,4,78,512,242,512,
16,28,4,28,128,52,128,
17,78,36,2,512,20,68,
18,78,4,2,512,364,4,
19,56,4,0,256,152,46,
20,56,46,56,256,8,256,
21,28,2,0,128,56,20,
22,78,8,0,512,236,224,
23,56,8,56,256,156,256,
24,112,72,0,768,126,84,
25,28,4,0,128,40,16,
26,28,4,12,128,40,6,
27,28,4,24,128,36,6,
28,78,12,0,512,178,208,
29,78,14,2,512,256,246,
30,28,4,22,128,56,2,
,
,
TREE DATA,
CLASSES:,0.0-0.8,1.0-1.0,
