50,184,
VM,I,F,N,CPU,Memory,Links
1,1,2,8,2,8,1,
2,1,23,244,8,244,1,
3,1,1,122,16,122,1,
4,1,7,4,2,4,1,
5,1,9,122,4,122,1,
6,2,6,32,8,32,1,
7,2,40,8,4,8,1,
8,2,1,32,8,32,1,
9,3,15,122,16,122,1,
10,3,8,32,8,32,1,
11,4,29,16,8,16,1,
12,4,4,8,4,8,1,
13,4,4,8,2,8,1,
14,4,3,16,4,16,1,
15,5,1,16,4,16,1,
16,5,29,64,16,64,1,
17,5,3,8,4,8,1,
18,5,3,8,2,8,1,
19,5,5,64,16,64,1,
20,6,29,4,2,4,1,
21,6,30,32,8,32,1,
22,6,27,16,4,16,1,
23,6,6,16,8,16,1,
24,7,35,122,16,122,1,
25,7,31,64,16,64,1,
26,7,17,64,16,64,1,
27,7,6,8,2,8,1,
28,7,34,244,8,244,1,
29,8,12,72,36,72,1,
30,8,2,16,8,16,1,
31,8,17,122,16,122,1,
32,8,2,8,2,8,1,
33,8,31,244,8,244,1,
34,9,35,16,8,16,1,
35,9,14,72,36,72,1,
36,9,25,122,4,122,1,
37,10,30,32,8,32,1,
38,10,10,72,36,72,1,
39,11,34,8,2,8,1,
40,11,35,8,2,8,1,
41,11,11,16,8,16,1,
42,11,35,4,2,4,1,
43,11,11,16,8,16,1,
44,12,3,4,2,4,1,
45,12,30,32,8,32,1,
46,12,9,64,16,64,1,
47,12,2,8,2,8,1,
48,12,1,4,2,4,1,
49,12,41,16,4,16,1,
50,13,3,122,16,122,1,
51,13,13,4,2,4,1,
52,13,33,64,16,64,1,
53,14,14,72,36,72,1,
54,14,13,122,16,122,1,
55,14,7,8,4,8,1,
56,14,14,122,4,122,1,
57,14,13,64,16,64,1,
58,15,15,32,8,32,1,
59,15,34,64,16,64,1,
60,15,1,32,8,32,1,
61,15,16,32,8,32,1,
62,16,14,122,16,122,1,
63,16,16,32,8,32,1,
64,17,28,192,48,192,1,
65,18,18,8,4,8,1,
66,18,9,64,16,64,1,
67,18,18,122,16,122,1,
68,19,19,72,36,72,1,
69,20,20,72,36,72,1,
70,21,18,32,8,32,1,
71,21,21,488,16,488,1,
72,22,7,16,4,16,1,
73,22,18,16,4,16,1,
74,22,1,4,2,4,1,
75,22,9,32,8,32,1,
76,22,11,8,2,8,1,
77,22,22,64,16,64,1,
78,23,40,4,2,4,1,
79,23,38,8,4,8,1,
80,23,1,4,2,4,1,
81,23,25,72,36,72,1,
82,23,8,122,16,122,1,
83,24,40,4,2,4,1,
84,24,2,8,2,8,1,
85,24,40,16,8,16,1,
86,24,1,16,8,16,1,
87,25,39,122,16,122,1,
88,25,41,72,36,72,1,
89,26,16,64,16,64,1,
90,26,25,16,4,16,1,
91,27,27,32,8,32,1,
92,27,7,16,4,16,1,
93,27,27,16,4,16,1,
94,27,1,4,2,4,1,
95,28,40,16,8,16,1,
96,28,9,8,2,8,1,
97,28,47,72,36,72,1,
98,28,41,16,8,16,1,
99,28,43,16,8,16,1,
100,28,8,122,16,122,1,
101,29,29,244,8,244,1,
102,29,29,16,4,16,1,
103,29,29,64,16,64,1,
104,29,30,72,36,72,1,
105,29,3,8,4,8,1,
106,30,30,244,8,244,1,
107,30,25,8,2,8,1,
108,30,26,64,16,64,1,
