30,105,
VM,I,F,N,CPU,Memory,Links
1,1,8,32,8,32,1,
2,1,6,64,16,64,1,
3,1,23,72,36,72,1,
4,2,29,16,8,16,1,
5,2,16,16,4,16,1,
6,2,16,32,8,32,1,
7,3,16,4,2,4,1,
8,3,20,8,4,8,1,
9,3,18,72,36,72,1,
10,4,25,8,2,8,1,
11,4,27,64,16,64,1,
12,5,30,122,16,122,1,
13,5,5,64,16,64,1,
14,5,26,244,8,244,1,
15,5,13,16,8,16,1,
16,5,24,72,36,72,1,
17,6,30,64,16,64,1,
18,6,5,122,4,122,1,
19,6,14,8,4,8,1,
20,6,16,8,2,8,1,
21,6,7,32,8,32,1,
22,6,10,32,8,32,1,
23,6,7,122,16,122,1,
24,7,19,64,16,64,1,
25,7,3,16,4,16,1,
26,7,9,256,64,256,1,
27,8,5,192,48,192,1,
28,8,26,72,36,72,1,
29,9,3,16,4,16,1,
30,9,12,122,16,122,1,
31,9,9,122,4,122,1,
32,9,8,244,8,244,1,
33,10,27,16,4,16,1,
34,10,4,8,2,8,1,
35,10,1,72,36,72,1,
36,11,11,122,16,122,1,
37,11,26,64,16,64,1,
38,12,3,8,4,8,1,
39,12,3,16,4,16,1,
40,12,28,16,8,16,1,
41,12,13,8,2,8,1,
42,12,3,8,4,8,1,
43,12,20,4,2,4,1,
44,12,20,32,8,32,1,
45,12,8,8,2,8,1,
46,13,4,8,2,8,1,
47,13,16,32,8,32,1,
48,13,14,32,8,32,1,
49,14,4,4,2,4,1,
50,14,8,16,8,16,1,
51,14,10,16,8,16,1,
52,15,15,192,48,192,1,
53,16,9,122,4,122,1,
54,16,19,16,8,16,1,
55,16,10,32,8,32,1,
56,17,27,122,16,122,1,
57,17,4,8,2,8,1,
58,17,26,122,4,122,1,
59,17,5,122,4,122,1,
60,18,6,122,4,122,1,
61,18,4,16,4,16,1,
62,18,25,64,16,64,1,
63,18,29,64,16,64,1,
64,18,13,16,4,16,1,
65,18,10,16,8,16,1,
66,19,27,122,4,122,1,
67,19,22,16,8,16,1,
68,19,11,32,8,32,1,
69,20,16,8,4,8,1,
70,20,25,64,16,64,1,
71,21,21,72,36,72,1,
72,22,13,4,2,4,1,
73,22,10,4,2,4,1,
74,22,29,32,8,32,1,
75,22,19,16,8,16,1,
76,23,3,32,8,32,1,
77,23,23,244,8,244,1,
78,23,6,8,4,8,1,
79,23,6,32,8,32,1,
80,24,8,72,36,72,1,
81,24,27,4,2,4,1,
82,24,24,244,8,244,1,
83,25,27,4,2,4,1,
84,25,2,64,16,64,1,
85,25,14,8,4,8,1,
86,25,7,64,16,64,1,
87,26,8,16,4,16,1,
88,26,27,8,4,8,1,
89,26,18,244,8,244,1,
90,26,4,8,4,8,1,
91,26,6,64,16,64,1,
92,26,28,16,8,16,1,
93,26,12,32,8,32,1,
94,26,27,122,4,122,1,
95,27,17,256,64,256,1,
96,27,3,16,4,16,1,
97,28,30,64,16,64,1,
98,28,16,8,4,8,1,
99,29,27,4,2,4,1,
100,29,22,32,8,32,1,
101,29,7,122,16,122,1,
102,30,7,122,16,122,1,
103,30,16,8,2,8,1,
104,30,20,8,2,8,1,
105,30,1,244,8,244,1,
,
Server,Capacity-CPU,Init-CPU,Final-CPU,Capacity-MEM,Init-MEM,Final-MEM,
1,78,18,34,512,344,196,
2,28,8,12,128,64,64,
3,56,14,24,256,172,144,
4,28,10,12,128,56,76,
5,112,28,40,768,250,268,
6,78,20,30,512,124,222,
7,112,28,40,768,432,306,
8,112,28,46,768,504,380,
9,112,80,40,768,264,268,
10,56,14,22,256,160,156,
11,56,24,32,256,70,102,
12,56,22,32,256,156,102,
13,28,10,12,128,56,84,
14,28,10,12,128,92,80,
15,78,30,30,512,320,320,
16,56,36,22,256,86,140,
17,78,52,14,512,138,256,
18,78,26,34,512,214,196,
19,56,36,24,256,86,160,
20,28,8,12,128,56,76,
21,56,20,20,256,184,184,
22,28,8,12,128,72,80,
23,78,50,34,512,196,196,
24,78,32,34,512,192,196,
25,56,18,22,256,116,120,
26,112,56,48,768,258,266,
27,112,44,58,768,496,302,
28,28,8,12,128,56,96,
29,56,30,24,256,98,144,
30,78,50,30,512,130,262,
,
,
TREE DATA,
CLASSES:,0.0-0.6,1.0-0.8,
